Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Laos,2000,0,1000,1000,2000,3000,10000,9000,10000,5000,10000,25000,30000,60000,220000,80000,40000
Myanmar,5000,10000,2000,3000,2000,8000,1000,500,20000,5000,10000,20000,30000,60000,120000,20000,5000
Vietnam,100,0,100,1000,2000,1000,10000,30000,10000,500,500,50000,40000,25000,50000,20000,5000
Indonesia,20000,10000,500,10000,500,500,0,0,0,0,500,500,5000,2000,40000,5000,10000
Cambodia,0,0,0,100,100,100,0,5000,500,0,1000,10000,5000,12000,25000,2000,0
Thailand,2000,1000,0,0,0,1000,0,1000,100,100,100,100,100,100,1000,100,0
